Order_ID,Customer_ID,Region,Category,Sub_Category,Product_Name,Quantity,Unit_Price,Discount,Order_Date,Ship_Mode,Payment_Method,Sales,Profit
ORD100000,CUST1421,West,Furniture,Novel,Product_0,6,238.59,0.05,2021-01-01 00:00:00,Standard,Debit Card,1359.963,201.54
ORD100001,CUST3813,Central,Electronics,Chair,Product_1,3,959.31,0.1,2021-01-01 01:00:00,Same Day,Net Banking,2590.1369999999997,494.76
ORD100002,CUST2653,East,Grocery,Cricket,Product_2,4,900.6,0.25,2021-01-01 02:00:00,Standard,UPI,2701.8,557.17
ORD100003,CUST1833,Central,Books,Shirt,Product_3,1,1712.42,0.05,2021-01-01 03:00:00,Express,Debit Card,1626.799,297.22
ORD100004,CUST2139,Central,Sports,Cricket,Product_4,8,1269.52,0.14,2021-01-01 04:00:00,Express,Debit Card,8734.2976,1531.14
ORD100005,CUST2155,South,Sports,Cricket,Product_5,1,1297.42,0.28,2021-01-01 05:00:00,Express,Net Banking,934.1424000000001,171.09
ORD100006,CUST2007,East,Electronics,Textbook,Product_6,5,1906.02,0.3,2021-01-01 06:00:00,Express,Debit Card,6671.07,695.83
ORD100007,CUST2258,East,Books,Textbook,Product_7,6,1965.6,0.08,2021-01-01 07:00:00,Standard,UPI,10850.112,1372.24
ORD100008,CUST1456,East,Clothing,Mobile,Product_8,2,1324.12,0.28,2021-01-01 08:00:00,Same Day,UPI,1906.7327999999998,330.41
ORD100009,CUST1997,Central,Electronics,Shirt,Product_9,7,1067.9,0.08,2021-01-01 09:00:00,Same Day,UPI,6877.276000000002,434.05
ORD100010,CUST1465,West,Books,Chair,Product_10,7,1235.44,0.12,2021-01-01 10:00:00,Standard,UPI,7610.3104,830.02
ORD100011,CUST3975,East,Electronics,Snacks,Product_11,1,795.77,0.26,2021-01-01 11:00:00,Express,Credit Card,588.8697999999999,77.31
ORD100012,CUST2843,Central,Sports,Shoes,Product_12,4,1975.54,0.24,2021-01-01 12:00:00,Same Day,UPI,6005.6416,941.01
ORD100013,CUST1214,South,Grocery,Table,Product_13,4,1424.79,0.26,2021-01-01 13:00:00,Same Day,Credit Card,4217.3784,621.2
ORD100014,CUST1329,West,Electronics,Cricket,Product_14,5,617.46,0.24,2021-01-01 14:00:00,Standard,UPI,2346.348,454.31
ORD100015,CUST2124,South,Clothing,Chair,Product_15,1,162.64,0.07,2021-01-01 15:00:00,Express,UPI,151.25519999999997,21.88
ORD100016,CUST2444,West,Furniture,Textbook,Product_16,1,137.21,0.17,2021-01-01 16:00:00,Same Day,Net Banking,113.8843,26.29
ORD100017,CUST3614,Central,Books,Rice,Product_17,7,449.58,0.12,2021-01-01 17:00:00,Standard,UPI,2769.4128,349.12
ORD100018,CUST1236,North,Electronics,Rice,Product_18,9,504.18,0.14,2021-01-01 18:00:00,Same Day,Debit Card,3902.3532,605.15
ORD100019,CUST1025,West,Electronics,Shoes,Product_19,1,859.34,0.05,2021-01-01 19:00:00,Same Day,UPI,816.373,41.34
ORD100020,CUST3066,South,Clothing,Shoes,Product_20,2,468.95,0.09,2021-01-01 20:00:00,Express,Cash,853.489,95.67
ORD100021,CUST2634,Central,Grocery,Shoes,Product_21,6,1280.28,0.26,2021-01-01 21:00:00,Express,Net Banking,5684.4432,1269.42
ORD100022,CUST2442,West,Electronics,Novel,Product_22,6,461.95,0.27,2021-01-01 22:00:00,Same Day,Net Banking,2023.341,236.15
ORD100023,CUST1365,North,Electronics,Table,Product_23,2,416.36,0.18,2021-01-01 23:00:00,Express,UPI,682.8304,68.72
ORD100024,CUST1847,North,Grocery,Table,Product_24,9,968.91,0.15,2021-01-02 00:00:00,Same Day,Cash,7412.1615,1176.36
ORD100025,CUST1211,East,Clothing,Snacks,Product_25,4,1782.9,0.21,2021-01-02 01:00:00,Same Day,UPI,5633.964000000001,370.41
ORD100026,CUST3970,East,Books,Cricket,Product_26,7,963.2,0.18,2021-01-02 02:00:00,Same Day,Debit Card,5528.768000000001,864.26
ORD100027,CUST3531,South,Books,Laptop,Product_27,6,857.01,0.3,2021-01-02 03:00:00,Standard,Net Banking,3599.4419999999996,398.58
ORD100028,CUST2690,West,Electronics,Novel,Product_28,3,1177.29,0.06,2021-01-02 04:00:00,Express,Net Banking,3319.9577999999997,420.37
ORD100029,CUST3354,West,Grocery,Rice,Product_29,8,551.57,0.13,2021-01-02 05:00:00,Express,Cash,3838.9272000000005,799.54
ORD100030,CUST2406,East,Electronics,Mobile,Product_30,7,739.2,0.28,2021-01-02 06:00:00,Same Day,Credit Card,3725.568,679.52
ORD100031,CUST3385,West,Furniture,Mobile,Product_31,9,466.98,0.27,2021-01-02 07:00:00,Express,Cash,3068.0586,427.14
ORD100032,CUST3909,West,Books,Shoes,Product_32,3,1165.03,0.15,2021-01-02 08:00:00,Same Day,Debit Card,2970.8265,491.68
ORD100033,CUST3257,North,Sports,Football,Product_33,1,1409.91,0.04,2021-01-02 09:00:00,Express,Cash,1353.5136,275.27
ORD100034,CUST2835,East,Furniture,Rice,Product_34,2,1363.71,0.24,2021-01-02 10:00:00,Express,Credit Card,2072.8392,412.82
ORD100035,CUST3775,Central,Electronics,Laptop,Product_35,1,546.89,0.18,2021-01-02 11:00:00,Same Day,Debit Card,448.44980000000004,39.04
ORD100036,CUST1608,East,Clothing,Novel,Product_36,5,1570.31,0.23,2021-01-02 12:00:00,Express,Debit Card,6045.693499999999,666.14
ORD100037,CUST3644,Central,Books,Laptop,Product_37,2,549.11,0.14,2021-01-02 13:00:00,Same Day,Credit Card,944.4692,113.0
ORD100038,CUST2724,North,Sports,Mobile,Product_38,3,343.11,0.06,2021-01-02 14:00:00,Standard,UPI,967.5701999999999,84.67
ORD100039,CUST3236,South,Furniture,Football,Product_39,8,732.13,0.01,2021-01-02 15:00:00,Same Day,Cash,5798.4696,304.03
ORD100040,CUST1259,West,Books,Laptop,Product_40,5,1215.6,0.17,2021-01-02 16:00:00,Express,Debit Card,5044.74,427.76
ORD100041,CUST2391,North,Grocery,Rice,Product_41,4,326.9,0.05,2021-01-02 17:00:00,Standard,Cash,1242.2199999999998,262.91
ORD100042,CUST1971,West,Clothing,Cricket,Product_42,5,1313.77,0.06,2021-01-02 18:00:00,Standard,Credit Card,6174.719,982.92
ORD100043,CUST3173,South,Furniture,Chair,Product_43,6,1732.98,0.13,2021-01-02 19:00:00,Same Day,Net Banking,9046.1556,1070.45
ORD100044,CUST1865,South,Grocery,Football,Product_44,7,621.62,0.13,2021-01-02 20:00:00,Standard,Credit Card,3785.6658,649.88
ORD100045,CUST2607,North,Electronics,Laptop,Product_45,9,927.9,0.08,2021-01-02 21:00:00,Same Day,Cash,7683.012000000001,1520.98
ORD100046,CUST3519,South,Grocery,Textbook,Product_46,1,495.21,0.04,2021-01-02 22:00:00,Express,Debit Card,475.4016,57.47
ORD100047,CUST2255,Central,Furniture,Football,Product_47,4,754.46,0.28,2021-01-02 23:00:00,Same Day,Cash,2172.8448,311.18
ORD100048,CUST2140,South,Furniture,Football,Product_48,9,92.84,0.04,2021-01-03 00:00:00,Standard,Net Banking,802.1376,50.41
ORD100049,CUST2184,West,Electronics,Cricket,Product_49,5,1909.85,0.11,2021-01-03 01:00:00,Same Day,Debit Card,8498.8325,1439.86
ORD100050,CUST3625,West,Grocery,Rice,Product_50,8,860.99,0.09,2021-01-03 02:00:00,Same Day,Net Banking,6268.0072,760.19
ORD100051,CUST1063,West,Grocery,Novel,Product_51,1,1588.3,0.26,2021-01-03 03:00:00,Express,UPI,1175.3419999999999,160.67
ORD100052,CUST3680,West,Electronics,Mobile,Product_52,4,328.15,0.12,2021-01-03 04:00:00,Same Day,Credit Card,1155.088,155.38
ORD100053,CUST2634,Central,Grocery,Textbook,Product_53,9,1634.09,0.04,2021-01-03 05:00:00,Express,UPI,14118.5376,2491.67
ORD100054,CUST3987,East,Books,Cricket,Product_54,1,1727.29,0.0,2021-01-03 06:00:00,Standard,Cash,1727.29,284.13
ORD100055,CUST2540,North,Electronics,Laptop,Product_55,1,1445.18,0.22,2021-01-03 07:00:00,Standard,UPI,1127.2404000000001,151.53
ORD100056,CUST1647,West,Clothing,Shoes,Product_56,4,1811.26,0.21,2021-01-03 08:00:00,Same Day,Credit Card,5723.5816,305.59
ORD100057,CUST1489,South,Furniture,Cricket,Product_57,3,376.03,0.13,2021-01-03 09:00:00,Same Day,Debit Card,981.4382999999999,170.96
ORD100058,CUST1752,West,Clothing,Shoes,Product_58,7,979.14,0.04,2021-01-03 10:00:00,Standard,Net Banking,6579.8207999999995,1486.48
ORD100059,CUST2812,South,Books,Shirt,Product_59,3,1259.21,0.11,2021-01-03 11:00:00,Standard,Debit Card,3362.0907,685.56
ORD100060,CUST2638,South,Books,Mobile,Product_60,1,1212.58,0.18,2021-01-03 12:00:00,Standard,UPI,994.3156,244.92
ORD100061,CUST1962,West,Sports,Rice,Product_61,2,1729.03,0.21,2021-01-03 13:00:00,Same Day,Cash,2731.8674,212.58
ORD100062,CUST2928,Central,Sports,Chair,Product_62,4,470.6,0.02,2021-01-03 14:00:00,Standard,UPI,1844.752,174.34
ORD100063,CUST2095,South,Sports,Football,Product_63,1,392.51,0.17,2021-01-03 15:00:00,Same Day,Credit Card,325.7833,51.43
ORD100064,CUST1016,South,Electronics,Shoes,Product_64,1,544.09,0.08,2021-01-03 16:00:00,Standard,Credit Card,500.56280000000004,48.64
